Latitude (decimal degrees):	50.847
Longitude (decimal degrees):	4.352
Elevation (m):	34
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230714:1110,200.26,222.53,71.6,59.95,23.09,4.69,0.0
20230714:1210,113.32,240.46,62.0,60.52,23.78,5.59,0.0
20230714:1310,38.5,211.36,47.4,56.67,24.18,5.31,0.0
20230714:1410,14.75,172.95,37.1,49.75,24.81,5.31,0.0
20230714:1510,113.17,129.16,56.1,41.18,25.24,5.24,0.0
20230714:1610,28.74,92.7,42.9,31.89,25.71,4.97,0.0
20230714:1710,0.0,56.25,15.8,22.44,26.01,4.28,0.0
20230714:1810,0.0,24.56,6.9,13.22,25.3,3.59,0.0
20230714:1910,0.0,7.48,2.1,4.56,23.78,2.97,0.0
20230714:2010,0.0,0.0,0.0,0.0,22.62,3.59,0.0
20230714:2110,0.0,0.0,0.0,0.0,22.41,4.34,0.0
20230714:2210,0.0,0.0,0.0,0.0,22.61,5.03,0.0
20230714:2310,0.0,0.0,0.0,0.0,22.66,4.97,0.0
20230715:0010,0.0,0.0,0.0,0.0,22.47,4.69,0.0
20230715:0110,0.0,0.0,0.0,0.0,22.19,4.55,0.0
20230715:0210,0.0,0.0,0.0,0.0,21.48,4.41,0.0
20230715:0310,0.0,0.0,0.0,0.0,20.71,3.86,0.0
20230715:0410,0.0,0.71,0.2,2.45,20.16,3.45,0.0
20230715:0510,0.0,23.5,6.6,10.92,20.11,3.31,0.0
20230715:0610,0.0,51.98,14.6,20.04,20.7,3.45,0.0
20230715:0710,15.89,43.49,45.3,29.47,20.95,3.31,0.0
20230715:0810,0.0,42.87,8.6,38.84,21.8,4.9,0.0
20230715:0910,0.0,58.82,11.8,47.64,22.48,6.55,0.0
20230715:1010,0.0,105.18,21.1,55.07,22.96,6.34,0.0
20230715:1110,140.46,236.06,64.9,59.8,23.52,6.41,0.0
20230715:1210,100.62,238.74,59.9,60.37,23.63,6.55,0.0
20230715:1310,314.37,135.9,79.5,56.54,23.68,6.9,0.0
20230715:1410,69.73,200.52,51.3,49.64,23.73,7.03,0.0
20230715:1510,9.95,145.97,31.7,41.08,23.45,7.03,0.0
20230715:1610,2.49,110.37,24.1,31.8,23.4,7.17,0.0
20230715:1710,0.0,49.84,14.0,22.34,23.06,6.69,0.0
20230715:1810,0.0,32.75,9.2,13.12,22.59,5.79,0.0
20230715:1910,0.0,3.56,1.0,4.45,20.78,3.72,0.0
20230715:2010,0.0,0.0,0.0,0.0,19.86,3.31,0.0
20230715:2110,0.0,0.0,0.0,0.0,18.8,3.45,0.0
20230715:2210,0.0,0.0,0.0,0.0,18.4,3.66,0.0
20230715:2310,0.0,0.0,0.0,0.0,18.1,3.93,0.0
20230716:0010,0.0,0.0,0.0,0.0,17.97,4.62,0.0
20230716:0110,0.0,0.0,0.0,0.0,17.59,5.31,0.0
20230716:0210,0.0,0.0,0.0,0.0,17.09,5.79,0.0
20230716:0310,0.0,0.0,0.0,0.0,16.61,6.14,0.0
20230716:0410,0.0,2.49,0.7,2.3,16.16,6.34,0.0
20230716:0510,0.0,21.72,6.1,10.78,16.13,6.48,0.0
20230716:0610,0.0,33.46,9.4,19.9,16.63,5.93,0.0
20230716:0710,14.48,59.78,43.0,29.33,17.45,8.83,0.0
20230716:0810,126.05,89.44,57.6,38.7,18.38,8.21,0.0
20230716:0910,20.02,175.52,38.6,47.5,18.95,7.24,0.0
20230716:1010,0.0,74.28,14.9,54.92,19.4,7.38,0.0
20230716:1110,0.0,119.64,24.0,59.64,20.6,7.66,0.0
20230716:1210,102.41,241.06,60.4,60.21,21.23,7.45,0.0
20230716:1310,110.71,228.56,60.2,56.41,21.62,6.97,0.0
20230716:1410,227.42,137.99,70.3,49.52,21.89,6.76,0.0
20230716:1510,0.0,76.27,15.3,40.98,21.63,6.21,0.0
20230716:1610,0.39,90.26,18.4,31.69,21.11,5.17,0.0
20230716:1710,0.0,56.25,15.8,22.24,20.73,4.48,0.0
20230716:1810,0.0,28.12,7.9,13.01,19.95,3.59,0.0
20230716:1910,0.0,7.83,2.2,4.34,18.22,2.97,0.0
20230716:2010,0.0,0.0,0.0,0.0,17.36,2.0,0.0
20230716:2110,0.0,0.0,0.0,0.0,16.88,2.28,0.0
20230716:2210,0.0,0.0,0.0,0.0,16.4,2.55,0.0
20230716:2310,0.0,0.0,0.0,0.0,15.94,2.76,0.0
20230717:0010,0.0,0.0,0.0,0.0,15.59,3.03,0.0
20230717:0110,0.0,0.0,0.0,0.0,15.48,3.24,0.0
20230717:0210,0.0,0.0,0.0,0.0,14.95,3.45,0.0
20230717:0310,0.0,0.0,0.0,0.0,14.56,3.66,0.0
20230717:0410,0.0,1.42,0.4,2.15,14.12,3.66,0.0
20230717:0510,0.0,23.14,6.5,10.64,14.36,3.59,0.0
20230717:0610,0.0,34.18,9.6,19.77,15.24,4.28,0.0
20230717:0710,10.44,88.66,38.4,29.2,16.38,4.69,0.0
20230717:0810,48.43,152.91,44.2,38.56,17.64,4.48,0.0
20230717:0910,43.98,190.07,45.4,47.35,18.62,4.69,0.0
20230717:1010,8.42,171.67,35.6,54.76,19.44,5.1,0.0
20230717:1110,196.92,227.58,71.1,59.47,20.19,5.03,0.0
20230717:1210,1.7,155.42,31.4,60.05,20.8,5.03,0.0
20230717:1310,357.78,111.0,82.8,56.27,20.38,5.38,0.0
20230717:1410,33.59,191.71,43.6,49.4,20.62,5.31,0.0
20230717:1510,168.93,82.28,62.4,40.86,20.85,5.1,0.0
20230717:1610,42.65,70.03,46.6,31.59,20.76,5.17,0.0
20230717:1710,0.0,38.45,10.8,22.13,20.23,4.69,0.0
20230717:1810,0.0,23.85,6.7,12.9,19.93,3.86,0.0
20230717:1910,0.0,8.9,2.5,4.22,19.15,2.97,0.0
20230717:2010,0.0,0.0,0.0,0.0,17.68,2.34,0.0
20230717:2110,0.0,0.0,0.0,0.0,16.46,2.28,0.0
20230717:2210,0.0,0.0,0.0,0.0,15.51,2.21,0.0
20230717:2310,0.0,0.0,0.0,0.0,14.68,2.21,0.0
20230718:0010,0.0,0.0,0.0,0.0,13.78,2.34,0.0
20230718:0110,0.0,0.0,0.0,0.0,13.06,2.41,0.0
20230718:0210,0.0,0.0,0.0,0.0,12.53,2.41,0.0
20230718:0310,0.0,0.0,0.0,0.0,12.13,2.41,0.0
20230718:0410,0.0,1.07,0.3,2.0,11.91,2.34,0.0
20230718:0510,0.0,23.14,6.5,10.49,12.36,2.0,0.0
20230718:0610,0.0,33.11,9.3,19.62,14.42,1.72,0.0
20230718:0710,0.11,81.24,16.5,29.06,16.74,1.66,0.0
20230718:0810,60.36,148.64,46.6,38.42,18.13,1.86,0.0
20230718:0910,13.13,166.02,35.5,47.2,19.42,1.66,0.0
20230718:1010,94.92,223.65,57.2,54.6,20.22,1.52,0.0
20230718:1110,407.38,104.76,87.0,59.3,21.63,1.93,0.0
20230718:1210,413.63,105.14,87.6,59.88,23.05,2.62,0.0
20230718:1310,382.77,94.3,84.4,56.12,23.9,2.76,0.0
20230718:1410,297.93,86.18,75.9,49.27,24.35,2.76,0.0
20230718:1510,170.46,83.25,62.3,40.74,24.51,2.62,0.0
20230718:1610,50.33,55.46,48.3,31.47,24.44,2.48,0.0
20230718:1710,0.0,32.4,9.1,22.02,24.17,2.21,0.0
20230718:1810,0.0,22.07,6.2,12.78,23.43,1.86,0.0
20230718:1910,0.0,8.19,2.3,4.09,22.67,1.59,0.0
20230718:2010,0.0,0.0,0.0,0.0,20.81,1.93,0.0
20230718:2110,0.0,0.0,0.0,0.0,19.15,1.93,0.0
20230718:2210,0.0,0.0,0.0,0.0,17.78,1.72,0.0
20230718:2310,0.0,0.0,0.0,0.0,16.65,1.45,0.0
20230719:0010,0.0,0.0,0.0,0.0,17.37,0.34,0.0
20230719:0110,0.0,0.0,0.0,0.0,15.19,1.59,0.0
20230719:0210,0.0,0.0,0.0,0.0,14.9,1.59,0.0
20230719:0310,0.0,0.0,0.0,0.0,14.93,1.66,0.0
20230719:0410,0.0,0.71,0.2,1.85,14.94,2.14,0.0
20230719:0510,0.0,23.85,6.7,10.34,15.69,2.41,0.0
20230719:0610,0.0,47.7,13.4,19.48,16.59,2.76,0.0
20230719:0710,1.65,104.4,23.7,28.91,17.58,3.31,0.0
20230719:0810,133.84,84.69,57.4,38.27,18.58,3.45,0.0
20230719:0910,213.52,129.24,67.3,47.05,19.71,4.07,0.0
20230719:1010,34.74,203.73,45.3,54.43,20.11,4.62,0.0
20230719:1110,51.93,224.29,50.9,59.12,20.48,5.03,0.0
20230719:1210,0.0,105.18,21.1,59.71,20.86,5.31,0.0
20230719:1310,139.54,225.11,63.1,55.96,20.99,5.31,0.0
20230719:1410,22.17,180.73,39.6,49.13,21.17,5.1,0.0
20230719:1510,10.48,145.66,31.6,40.62,20.93,4.97,0.0
20230719:1610,4.17,113.64,25.6,31.36,20.7,5.03,0.0
20230719:1710,0.0,34.89,9.8,21.9,20.33,4.34,0.0
20230719:1810,0.0,31.68,8.9,12.66,19.61,3.03,0.0
20230719:1910,0.0,4.63,1.3,3.96,18.5,2.62,0.0
20230719:2010,0.0,0.0,0.0,0.0,17.59,2.28,0.0
20230719:2110,0.0,0.0,0.0,0.0,16.74,2.14,0.0
20230719:2210,0.0,0.0,0.0,0.0,16.33,2.21,0.0
20230719:2310,0.0,0.0,0.0,0.0,16.11,2.55,0.0
20230720:0010,0.0,0.0,0.0,0.0,15.63,2.69,0.0
20230720:0110,0.0,0.0,0.0,0.0,15.06,2.48,0.0
20230720:0210,0.0,0.0,0.0,0.0,14.49,2.28,0.0
20230720:0310,0.0,0.0,0.0,0.0,13.94,2.07,0.0
20230720:0410,0.0,0.36,0.1,1.69,13.58,1.86,0.0
20230720:0510,0.0,16.02,4.5,10.19,13.85,1.45,0.0
20230720:0610,0.0,29.19,8.2,19.33,15.32,1.79,0.0
20230720:0710,9.3,99.95,34.7,28.77,16.34,0.69,0.0
20230720:0810,49.56,151.91,43.6,38.12,17.16,0.55,0.0
20230720:0910,155.14,169.89,61.5,46.89,18.22,0.97,0.0
20230720:1010,127.69,221.49,61.1,54.26,19.28,1.24,0.0
20230720:1110,213.89,222.65,71.9,58.94,20.1,1.52,0.0
20230720:1210,136.63,241.65,64.2,59.53,20.45,1.66,0.0
20230720:1310,0.0,102.69,20.6,55.8,20.72,1.59,0.0
20230720:1410,0.0,116.65,23.4,48.99,21.1,1.72,0.0
20230720:1510,1.47,116.45,23.7,40.49,21.29,1.79,0.0
